product_id,sku,name,brand,price_current,price_original,discount_amt,currency,installment,in_stock,category,url,image
114777,TM-DG-SBP-1105-SM-3781,OPPO A5 Pro 8/256 GB Feather Blue,OPPO,529.99,669.99,140,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/oppo-a5-pro-8-256-gb-feather-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3781_1-08da25e8.webp
114026,TM-DG-SBP-1105-SM-3698,iPhone 17 256 GB Lavender,Apple,2249.99,2599.99,350,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-256-gb-lavender,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3698_1.png
103553,TM-DG-SBP-1105-SM-3269,Samsung Galaxy S25 Ultra (SM-S938B) 12/512 GB Titanium Silver Blue,Samsung,2619.99,3219.99,600,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-ultra-sm-s938b-12-512-gb-titanium-silver-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3269_1.png
114066,TM-DG-SBP-1105-SM-3738,iPhone 17 Pro 1 TB Cosmic Orange,Apple,4099.99,4699.99,600,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-1-tb-cosmic-orange,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3738_1.png
114072,TM-DG-SBP-1105-SM-3744,iPhone 17 Pro Max 2 TB Cosmic Orange,Apple,5499.99,6099.99,600,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-max-2-tb-cosmic-orange,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3744_1.png
114065,TM-DG-SBP-1105-SM-3737,iPhone 17 Pro 1 TB Deep Blue,Apple,4099.99,4699.99,600,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-1-tb-deep-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3737_1.png
110796,TM-DG-SBP-1105-SM-3605,Samsung Galaxy Z Fold7 (F966) 12/512 GB Silver Shadow,Samsung,3999.99,4519.99,520,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-z-fold7-f966-12-512-gb-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3605_1.png
111351,TM-DG-SBP-1105-SM-3617,HONOR X6c 6/256 GB Midnight Black,HONOR,329.99,409.99,80,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x6c-6-256-gb-midnight-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3617_1.png
115072,TM-DG-SBP-1105-SM-3656,Samsung Galaxy A17 (SM-A175) 6/128 GB Light Blue,Samsung,379.99,459.99,80,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-6-128-gb-light-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3656_100.png
114838,TM-DG-SBP-1105-SM-3640,OPPO A5 6/128 GB CPH2727 Mist White,OPPO,379.99,469.99,90,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-a5-6-128-gb-cph2727-mist-white,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3640_-66805d7e.webp
119674,TM-DG-SBP-1105-SM-3890,Google Pixel 10 Pro XL 16/256 GB Moonstone,Google,2799.99,3399.99,600,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/google-pixel-10-pro-xl-16-256-gb-moonstone,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3890_1.png
115073,TM-DG-SBP-1105-SM-3660,Samsung Galaxy A17 (SM-A175) 8/256 GB Gray,Samsung,459.99,569.99,110,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-8-256-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3660_1.png
120523,TM-DG-SBP-1105-SM-3902,OPPO A5 Pro 8/128 GB Feather Blue,OPPO,449.99,569.99,120,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-a5-pro-8-128-gb-feather-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3902_1-0a7a9346.webp
120521,TM-DG-SBP-1105-SM-3900,OPPO Find X9 16/512 GB Space Black,OPPO,2349.99,2649.99,300,AZN,0% 12 ay,Unknown,Smartfonlar,https://kontakt.az/oppo-find-x9-16-512-gb-space-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3900_1-28aa3dd8.webp
