product_id,name,brand,barcode,price_current,price_original,discount_amt,discount_pct,currency,installment_monthly,available,stock_qty,label,category,url,image
11295,Telefon Xiaomi Redmi Note 14 Pro Plus NFC 12/512 black,XIAOMI,NOTE 14PRO PLUS NFC 12/512GB BLACK-,999.99,1199.99,200.0,,AZN,83.33,LimitedQuantity,2,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-plus-nfc-12-512-p11295,https://static.elitoptimal.az/ElitOptimal/b59a723d-52e1-40f7-a9cf-23521e5e0091_Thumb.jpeg
11294,Telefon Xiaomi Redmi Note 14 Pro Plus NFC 12/512 blue,Xiaomi,NOTE 14 PRO PLUS NFC 12/512GB BLUE-,999.99,1199.99,200.0,,AZN,83.33,LimitedQuantity,13,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-plus-nfc-12-512-blue-p11294,https://static.elitoptimal.az/ElitOptimal/fbc8ea05-5520-490e-9d75-5b8e3c97fee8_Thumb.jpeg
11293,Telefon Xiaomi Redmi Note 14 Pro NFC 8/256GB purple,Xiaomi,NOTE 14 PRO NFC 8/256GB PURPLE-,569.99,699.99,130.0,,AZN,47.5,LimitedQuantity,3,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-nfc-8-256gb-purple-p11293,https://static.elitoptimal.az/ElitOptimal/3a372ce8-c83b-49d5-85d8-a71d8c707f44_Thumb.jpeg
11226,Telefon Cubot P80 8/256 GB Black,Cubot,P80 8/256 GB BLACK,399.99,489.99,90.0,,AZN,33.33,LimitedQuantity,1,,Cubot telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-cubot-p80-8-256-gb-black-p11226,https://static.elitoptimal.az/ElitOptimal/d46ab79c-cd60-4946-9623-888efc47209d_Thumb.jpeg
11173,Telefon Oukitel WP35 8/256 GB Grey,OUKITEL,WP35 8/256 GB GREY,629.99,799.99,170.0,,AZN,52.5,LimitedQuantity,1,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-wp35-8-256-gb-grey-p11173,https://static.elitoptimal.az/ElitOptimal/18d44bad-3322-4691-851b-87eeb657126a_Thumb.jpeg
11172,Telefon Oukitel WP35 8/256 GB Green,OUKITEL,WP35 8/256 GB GREEN,629.99,799.99,170.0,,AZN,52.5,LimitedQuantity,7,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-wp35-8-256-gb-green-p11172,https://static.elitoptimal.az/ElitOptimal/834342db-627e-4406-90a9-2bf43ddf721d_Thumb.jpeg
11169,Telefon Oukitel C50 8/128 GB Black,OUKITEL,C50 8/128 GB BLACK,319.99,419.99,100.0,,AZN,26.67,LimitedQuantity,12,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-c50-8-128-gb-black-p11169,https://static.elitoptimal.az/ElitOptimal/2861a5c6-392b-4674-8dd3-bf23ff944dbb_Thumb.jpeg
11168,Telefon Oukitel C38 6/256 GB White,OUKITEL,C38 6/256 GB WHITE,319.99,419.99,100.0,,AZN,26.67,LimitedQuantity,17,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-c38-6-256-gb-white-p11168,https://static.elitoptimal.az/ElitOptimal/88329e78-e364-4e64-8b0c-ef049f0bd01a_Thumb.jpeg
11167,Telefon Oukitel C38 6/256 GB Black,OUKITEL,C38 6/256 GB BLACK,319.99,419.99,100.0,,AZN,26.67,LimitedQuantity,14,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-c38-6-256-gb-black-p11167,https://static.elitoptimal.az/ElitOptimal/1955ed7c-6139-49f3-9e28-8e5a56898498_Thumb.jpeg
11166,Telefon Oukitel C35 12/256 GB Blue,OUKITEL,C35 12/256 GB BLUE,299.99,419.99,120.0,,AZN,25.0,LimitedQuantity,16,,Oukitel telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-oukitel-c35-12-256-gb-blue-p11166,https://static.elitoptimal.az/ElitOptimal/fe283c59-7336-481c-9c17-9bea3cac1f61_Thumb.jpeg
