product_id,name,price_current,price_original,currency,badges,specs,url,image
7941,Xiaomi Poco M7 Pro NFC 5G (12GB RAM) Purple 256GB,519.00,599.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2400 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-poco-m7-pro-nfc-5g-12gb-ram,https://bytelecom.az//media/2025/05/19/product_images/37512/m7-pro-purple-1.jpg
7940,Xiaomi Poco C71 (4GB RAM) Blue 128GB,189.00,229.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.88"" | Operativ yaddaş 4 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1640 | Ekran növü IPS LCD",https://bytelecom.az/az/products/xiaomi-poco-c71-4gb-ram,https://bytelecom.az//media/2025/05/19/product_images/37478/poco-c71-blue-1.jpg
7878,Xiaomi Redmi A5 (4GB RAM) Blue 128GB,199.00,229.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.88"" | Operativ yaddaş 4 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1640 | Ekran növü IPS LCD",https://bytelecom.az/az/products/xiaomi-redmi-a5-4gb-ram,https://bytelecom.az//media/2025/04/16/product_images/36996/redmi-a5-blue-1.jpg
7875,Samsung Galaxy A36 (8GB RAM) Lavander 128GB,699.00,779.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled | Prosessor növü Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),https://bytelecom.az/az/products/samsung-galaxy-a36-8gb-ram,https://bytelecom.az//media/2025/05/12/product_images/37293/a36-purple-1.jpg
7872,Samsung Galaxy A56 (8GB RAM) Black 128GB,869.00,989.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled",https://bytelecom.az/az/products/samsung-galaxy-a56-8gb-ram,https://bytelecom.az//media/2025/04/09/product_images/36914/a56-black-1.jpg
7850,iPhone 16e White 128GB,1499.00,1949.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.1'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Nano | Ekran icazəsi 1170x2532 | Ekran növü Super Retina XDR OLED,https://bytelecom.az/az/products/iphone-16e,https://bytelecom.az//media/2025/03/12/product_images/36791/16e-white-1.jpg
7818,Samsung Galaxy S25 5G (12GB RAM) Navy 128GB,1669.00,1909.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.2'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2340 | Ekran növü Dynamic LTPO AMOLED 2X",https://bytelecom.az/az/products/samsung-galaxy-s25-5g-12gb-ram,https://bytelecom.az//media/2025/03/19/product_images/36813/s25-navy-1.jpg
7706,Samsung Galaxy S25 Ultra 5G NFC (12 GB RAM) Titanium Black 256GB,2399.00,2849.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.9"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1440 x 3120 | Ekran növü Dynamic LTPO AMOLED 2X",https://bytelecom.az/az/products/samsung-galaxy-s25-ultra-5g-nfc-12-gb-ram,https://bytelecom.az//media/2025/02/13/product_images/35800/s25-ultra-black-1.jpg
7684,HONOR X8c (8GB RAM) Midnight Black 128GB,439.00,489.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2412 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-x8c-8gb-ram,https://bytelecom.az//media/2025/02/12/product_images/35535/x8c-black-1.jpg
7641,Xiaomi Poco X7 Pro 5G (12GB RAM) Yellow 256GB,779.00,949.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1220 x 2712 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-poco-x7-pro-5g-12gb-ram,https://bytelecom.az//media/2025/02/07/product_images/35356/x7-pro-yellov-1.jpg
7640,Xiaomi Poco X7 5G (12GB RAM) Silver 512GB,739.00,809.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1220 x 2712 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-poco-x7-5g-12gb-ram,https://bytelecom.az//media/2025/02/07/product_images/35343/poco-x7-silver-1.jpg
7579,CUBOT X70 NFC (12GB RAM) Black 256GB,479.00,599.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.58"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2408 | Ekran növü IPS LCD",https://bytelecom.az/az/products/cubot-x70-nfc-12gb-ram,https://bytelecom.az//media/2025/02/03/product_images/34954/x70-black-1.jpg
7574,CUBOT X30P NFC (8GB RAM) Black 256GB,279.00,359.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.4'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2310 | Ekran növü IPS LCD",https://bytelecom.az/az/products/cubot-x30p-nfc-8gb-ram,https://bytelecom.az//media/2025/02/03/product_images/34931/cubot-x30p-black-1.jpg
7520,HONOR X9c Smart (8GB RAM) Cyan 256GB,579.00,649.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,Ekran ölçüsü 6.8'' | Operativ yaddaş 8 GB | SIM-kart sayı Nano-SIM + Nano-SIM | Ekran icazəsi 1080 x 2412 | Ekran növü TFT LCD,https://bytelecom.az/az/products/honor-x9c-smart-8gb-ram,https://bytelecom.az//media/2025/01/27/product_images/34636/x9c-smart-cyan-1.jpg
7519,Honor X5b Plus (4GB RAM) Black 128GB,219.00,239.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.56"" | Operativ yaddaş 4 GB | SIM-kart sayı Nano-SIM + Nano-SIM | Ekran icazəsi 720 x 1612 | Ekran növü TFT LCD",https://bytelecom.az/az/products/honor-x5b-plus-4gb-ram,https://bytelecom.az//media/2025/01/27/product_images/34619/x5-plus-black-1.jpg
7518,Xiaomi Redmi Note 14 Pro Plus 5G NFC (8GB RAM) Blue 256GB,919.00,1039.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1220 x 2712 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-redmi-note-14-pro-plus-5g-nfc-8gb-ram,https://bytelecom.az//media/2025/01/27/product_images/34599/note-14-pro-plus-blue-1.jpg
